Team,Rank,Year
Germany,2,1998
Brazil,1,1998
Italy,10,1998
Spain,3,1998
Argentina,19,1998
Romania,5,1998
Netherlands,12,1998
Mexico,11,1998
Bulgaria,24,1998
England,6,1998
Belgium,41,1998
Colombia,9,1998
France,7,1998
United States,29,1998
Denmark,8,1998
Norway,14,1998
Morocco,16,1998
Cameroon,51,1998
Nigeria,71,1998
Saudi Arabia,34,1998
Yugoslavia,22,1998
Korea Republic,31,1998
Scotland,36,1998
Japan,18,1998
Tunisia,23,1998
Chile,17,1998
Austria,26,1998
Croatia,21,1998
Paraguay,30,1998
South Africa,35,1998
Jamaica,39,1998
Iran,50,1998
Brazil,3,2002
Argentina,2,2002
Italy,6,2002
Germany,11,2002
France,1,2002
Spain,7,2002
Mexico,9,2002
England,10,2002
Croatia,19,2002
Denmark,17,2002
Paraguay,14,2002
Sweden,16,2002
United States,20,2002
Belgium,20,2002
Portugal,4,2002
Republic of Ireland,18,2002
Russia,22,2002
Nigeria,40,2002
Saudi Arabia,30,2002
South Africa,34,2002
Tunisia,28,2002
Cameroon,38,2002
Turkey,23,2002
Uruguay,24,2002
Korea Republic,43,2002
Japan,35,2002
Slovenia,27,2002
Poland,33,2002
Costa Rica,31,2002
Ecuador,37,2002
China PR,55,2002
Senegal,67,2002
Brazil,11,2014
Spain,1,2014
Germany,2,2014
Argentina,3,2014
Colombia,4,2014
Belgium,5,2014
Uruguay,6,2014
Switzerland,7,2014
Netherlands,8,2014
Italy,9,2014
England,10,2014
United States,12,2014
Chile,13,2014
Portugal,14,2014
Greece,15,2014
Bosnia and Herzegovina,16,2014
Ivory Coast,17,2014
Croatia,18,2014
Russia,19,2014
France,21,2014
Ecuador,22,2014
Ghana,23,2014
Mexico,24,2014
Costa Rica,31,2014
Algeria,32,2014
Nigeria,33,2014
Honduras,34,2014
Japan,44,2014
Iran,49,2014
Korea Republic,56,2014
Australia,57,2014
Cameroon,59,2014
South Africa,85,2010
Brazil,1,2010
Spain,2,2010
Netherlands,3,2010
Italy,4,2010
Germany,5,2010
Argentina,6,2010
England,7,2010
France,9,2010
Portugal,10,2010
United States,11,2010
Switzerland,13,2010
Cameroon,14,2010
Greece,16,2010
Chile,17,2010
Mexico,18,2010
Ivory Coast,19,2010
Serbia,20,2010
Paraguay,21,2010
Australia,24,2010
Uruguay,25,2010
Denmark,27,2010
Algeria,29,2010
Nigeria,32,2010
Slovakia,33,2010
Honduras,35,2010
Ghana,38,2010
Japan,40,2010
Korea Republic,48,2010
Slovenia,49,2010
New Zealand,83,2010
North Korea,91,2010
Brazil,1,2006
England,9,2006
Spain,6,2006
Germany,16,2006
Mexico,7,2006
France,5,2006
Italy,12,2006
Argentina,4,2006
United States,8,2006
Netherlands,3,2006
Korea Republic,29,2006
Japan,15,2006
Sweden,14,2006
Croatia,20,2006
Paraguay,30,2006
Czech Republic,2,2006
Portugal,10,2006
Costa Rica,21,2006
Saudi Arabia,32,2006
Poland,23,2006
Iran,19,2006
Tunisia,28,2006
Ecuador,37,2006
Serbia and Montenegro,47,2006
Switzerland,36,2006
Ukraine,40,2006
Ivory Coast,41,2006
Australia,49,2006
Trinidad and Tobago,51,2006
Ghana,50,2006
Angola,62,2006
Togo,56,2006
